A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
7842.126339210777,1342.2098167569875,519.2820601794268,1193.5115734595215,-6761.58184842191,8754.301770677132,-10069.606081894071,2303.859444179487,-483.4027582753651,-2852.051704923905,-627.584302650759,1348.2227876070103
4181.772452529336,3163.9824478549504,544.1910326476557,2905.3964556797305,-5666.981397958651,7107.547591192618,-11082.365285318301,4430.651235779867,-1247.984564916288,-907.017925062268,-4106.716856597486,-1559.6470653466226
7914.487843100879,1645.145936280018,-1056.9195890299432,1786.5187917008038,-550.3558079488896,4079.8564010471955,-7128.666254596083,4217.7642095419,-1729.307058328204,-1750.6273329584428,-3132.971803714019,5023.142783880203
4633.832438345796,2954.466604958452,2056.8164617367393,785.1939262967853,-1618.1473216377378,3789.8031304376545,-9218.419949132336,4422.0976465155545,-5767.781753198372,-2876.929268034898,-6908.655681671157,5778.721609276951
5525.073587483513,6211.226900145776,-1499.545177961964,2427.3852147862194,-5758.214714560217,-1860.1031324088754,-11825.53037021438,-1448.5137301138357,-5313.213623664756,-1599.2405498949504,-10218.186778951034,5225.6150703565345
6949.305247732229,7150.227286192232,-277.6290919719054,-217.0256272426797,-6046.026947113213,-591.1924873189221,-7783.31209551741,-1440.7991683473897,-5975.892180903234,-5013.033785157749,-10360.315752236655,7522.612170787049
5495.412142700538,4380.687243783325,-3641.3327280014564,-1284.9546661209542,-2237.995711493429,5320.880644574983,-7953.5307338133725,-346.1487872386675,-3333.5957599321637,-4770.634751100139,-5645.637169310798,9966.782570060948
8283.094364396968,4012.022371213427,-2255.748390550959,920.860689153536,-5129.1495857489,5983.096823505421,-7366.037498042409,-1566.8140965605767,-4137.695654759828,-6881.465087428459,-2468.0934627063602,5261.797599624099
-3956.910013076262,13495.577191908125,811.8604894244625,-3603.975112274153,3633.3444431417397,8948.848341680983,-7856.935410508361,-1069.3082400072155,-818.8218063884466,5033.586374459477,570.5951614131645,1047.4223458404274
-6612.515688910019,12854.426858002491,1601.413221889108,215.66379977479528,3965.948939082934,10981.432074501792,-4376.082829772143,-1361.648236238314,1782.8666317541756,5014.642330615138,1999.297124935674,177.85491417776086
-4563.27238206742,11969.297178723928,-1976.7450243576875,1198.0293032502157,2946.6650688382942,12404.922758430905,-1096.2237021216179,-1913.542435577139,-2813.2206379077725,4797.99020917109,-721.7939487323928,-2156.099622760121
-1932.107043579763,14387.438697244057,-44.76571003969688,-4787.0999363375695,1018.8824318271191,9334.258504010848,-6585.759417954187,722.3673030789645,-5734.227491413557,4131.098865714136,-7269.566163686059,-4711.323993035077
-1189.0784426772007,12503.381781590138,-116.57615991675588,-280.0512037416809,658.536888882856,8173.069014308693,-2382.740087723181,2599.3412695571196,-3264.7918884513574,6228.953941350278,-9437.952793057064,-3596.088595801406
328.68649252178324,12089.203029325108,-86.22457174591102,-2839.4936272576742,546.7144650200444,6838.76551182912,-113.70020583804862,-658.0210974384323,-6651.870736481684,8172.462394061863,-8901.057205393401,-5083.141937411748
832.7839701548529,11959.385509786785,-4248.5497073763245,2461.3706464090105,462.5311470939161,8844.010515812572,3204.448142168314,-2602.8532094230604,-7646.45587732688,6117.283252856193,-7728.316584155578,-4966.325320707279
-2761.8383562116264,9517.032379778662,-3000.3057315035394,-100.00511982002581,-1094.5951782256905,7421.084361810922,-761.9204696421145,-413.0362110569657,-6895.1182384810645,5052.381112065334,-9436.45240741931,-10076.73040813418
44.33307457563042,7925.284529254592,-1193.4226347577035,264.8865413310546,-895.5006824582442,8269.697951227701,730.9245369285973,-45.39806302091285,-8765.547097057506,3913.9327843906976,-8687.346466802732,-10266.066377949635
1252.163870121763,7541.028238109351,-941.5194500338836,848.138774543081,418.33420933542413,10088.04571890894,-3282.77721303566,-1070.8335914154616,-11013.632553859496,2442.405506827653,-6345.331065087919,-10557.314136230212
316.34706005485657,8518.044460324309,-1076.0953202306741,1855.1090647274152,-88.5361006360186,9018.018747006714,-5315.05433184538,-1058.5322986346669,-16353.75366554974,1958.001996105146,-6639.865032348186,-9748.52574713615
-2200.2134450394688,9261.468407484237,116.52283599879682,3365.2482946014907,-952.4784287905095,9222.670883285637,-6911.441899204768,-495.52127661001117,-14834.423675429685,3740.687024007188,-5634.225051727896,-7278.757093460016
-3151.891087027795,9782.362894696887,60.43566336289264,-1683.1630741604258,443.6499654443468,8865.509210955752,-7092.549800932625,-1767.8246651729132,-12681.756970273878,25.823804159378927,-7930.088871604426,-9649.490887423497
-5860.970428748396,10461.957517781882,1555.1660047989,2521.294166884508,-3173.6299809617676,8143.083667755092,-7927.128177717088,4035.878235422091,-12335.810907887504,703.7215047399375,-7976.4008324742845,-7424.206482524652
-533.4731794058333,9677.485665176886,-1365.4363378226524,-704.3388757415058,1577.0529796784729,8802.427551490211,-7518.971028472272,-2121.771322670551,-13040.39687169437,1493.8539590727576,-8511.754367303527,-10607.948691674226
-1262.9518150267243,9020.495023383257,2254.768299300422,-657.6985462687281,2015.5681820304783,9268.681957675517,-7766.843073222678,-2952.1067511288543,-11687.470904209373,1537.2098339946758,-4868.9027205783805,-11853.234427127047
-537.0202885980458,12184.982914776869,-1535.6891867379518,157.67065665204348,827.2809159545768,7648.809159910094,-9649.736330326781,-1409.685290435248,-13155.43505453753,3666.757206770971,-7530.61799577835,-10747.30139317589
-191.34100960542415,8112.3361032091325,-486.46724742012486,2871.234000903035,2083.377571494912,9492.973319654384,-3034.5599851797533,-177.59870537409418,-11159.53863982908,5889.4355814123455,-5823.460650758736,-5925.572336988904
-594.0850877457385,4474.894099358322,-2045.5699991038425,245.07951768892977,20.464925619705514,-1069.825874238551,-2359.929654646018,-984.856317837794,-8395.733461596008,6413.172475114355,-5383.860711443472,-4866.863541870589
-11094.315698128705,2850.473413765875,1285.3300610505626,-1636.5420891505644,-6072.848400895918,-4083.9405362192406,-6366.43546142456,305.36274936736754,-8968.816723515723,8142.050987806477,-2260.7250359104464,-2086.607527886153
-11958.590449489233,1680.2826267602047,360.80011931926344,-1293.0012626131231,-6870.137048916347,-4796.933899212573,-5909.737007304889,-2281.9979673187145,-9278.097802951228,8386.782336947546,-5509.84602864807,583.4487674224938
-11070.678055590128,-207.44209968462866,1702.8443333409696,-417.10931229678755,-8482.13525515033,-4902.386603616428,-4742.844356150394,-6047.006699923876,-5875.42134841443,6256.169368568863,-5103.106202315305,-1545.6717101977454
-13040.05357200646,-1645.171784841483,61.04303785666362,-2862.585808378568,-9790.06178347961,-8570.266349238593,-6259.620165333383,-5071.133974039993,-3320.8264847378773,9168.633504720143,-263.0946876374177,2009.5700742048734
-10079.81499266751,-4605.025334370915,1397.5240580080165,-4220.800501806144,-10618.320000207967,-4725.7833668113,-6406.659467262196,-6444.854053749096,-2094.0386261829317,9490.07152392955,5166.472963043084,2720.690838891812
-13978.715940122725,-3557.357024216672,-3056.5732066691953,215.62883394510837,-12895.524925378078,-4283.385176396546,-8344.646047363849,-6201.263075503476,-1272.0472468732655,7918.908192758936,-1513.583861914244,2990.156090209131
-12519.533770895972,-2804.120360670226,-295.8056374019913,-4360.878530808702,-12643.602775887954,-8660.245061560665,-6864.547806135138,-3381.0032947298128,643.2885660035487,8883.471796078225,-1028.803238916239,4924.7545919957765
-11300.546735883836,261.44052544798393,-1091.5386076691682,-4789.489316501358,-10542.98658408885,-5366.330697629424,-6198.52529343466,-960.9036989387535,-720.5085946709436,5722.101947220349,-4358.147317793557,2174.1338532235573
3050.984341042028,7622.656130875031,-12199.892669624256,5751.473041738817,-10133.169854018146,390.08966772007994,-3795.3004869879223,-3360.6698867017126,-1690.571046774279,6816.179445590934,-3859.3411445978827,-3467.880492167149
3272.065637137575,5881.284011997258,-11127.305722019644,7470.131133328923,-9799.155015213932,-205.8822786596763,-2322.8558815339725,-3101.229305771108,-2028.66622959137,8045.179058795657,-4974.599011448898,-3984.046614017716
1404.7831559538176,4757.670045777702,-10987.897407831331,6928.01257164783,-8103.464519905634,-1412.330386977349,-700.1319981278383,-337.78930154537755,-866.3083198058039,9597.355561994753,-1979.1112399016856,-3417.8894735745
-480.7736489230819,4524.989492176183,-11201.11614027794,4365.048587268703,-9275.232211269104,305.649718001628,-992.6485246674292,-3130.3210310894847,-3054.8115410666205,4966.906116762547,-2040.2855395473077,-5927.355805155437
1513.2941452123657,3110.460803335483,-10501.65482585625,8129.869065384133,-7003.819378289441,1368.4238392769478,-1594.6478807774183,-2314.3191011701324,-2431.257871875553,8336.116244762221,-4866.455140674682,-6746.80926515518
3450.554118392738,4711.343223466115,-8786.771629529565,6114.042221064374,-8641.811380359923,-231.21846511963795,152.1648679741708,-5882.508869379397,-4194.995916369005,10607.597814819155,-4780.798929027487,-5601.395447201755
96.65231766874103,4926.225389135517,-9781.499809487395,7351.692955953567,-9259.63327892907,2879.6309401041776,-1366.1855445947594,-3529.5388799043694,-2355.0118248138647,7145.092027053646,-4485.800944546252,-6007.306494282934
4152.3338436948525,5652.790316088649,-9811.14430119047,6753.8635875076125,-7093.970132223763,2985.0594107016336,-1025.0248347659822,-7798.357426710413,-5524.960240278566,10533.312274350601,-5244.797473405365,-5504.177009592443
872.0017587697787,6058.140146976478,-8656.549374801845,7480.634791547817,-2150.9831980789822,2053.631616230421,-1043.7493206796064,-1531.9043299600853,-3662.998356181143,10053.324406147907,-4343.291982558212,-3704.1160336713415
-5965.446838620981,5606.390193002043,-7509.840031923833,5255.550146512107,-774.9737777912495,3038.416706532918,-5858.82502098753,-2358.5469079570958,-4704.571046306113,5920.2394110570685,-4104.806630843905,-981.2279566746541
-2725.522061515656,6035.208234757246,-8894.455628819034,7151.11928710986,-1486.7551935101178,2282.4194637872956,-2778.3503669641127,-4918.411596403058,-8272.274739736742,9754.348754122488,-7776.493191109448,-2857.789242354448
-2112.3997425508433,3322.948620355667,-7094.355270549932,7004.789231159208,-5045.479007919838,-1039.1027643375805,-3954.019290821516,-761.2060514536187,-10183.275288134786,9624.26035351039,-6261.564162541264,-2847.2690754016903
-199.1989691977125,6243.743561568745,-7537.035078533538,3747.0058082729483,-7551.22900279927,1363.7992709322114,-3710.7228956955946,-4663.3103750853925,-9064.087580859363,8039.14336643658,-9308.352255237716,-3286.9780402978654
1584.1872786885626,6892.644484524174,-9893.227661693854,4448.592183152958,-2853.1147966861186,-641.5727350757575,-1563.179364562027,-5299.072157362539,-5725.929882285153,5759.15106399265,-6900.070628559407,-227.97949204462148
1366.9927233836386,7301.160290455246,-7354.588022988397,-477.4296732560151,-6312.902955803206,1268.8996059034766,-1045.04014285136,-4576.5888841899305,-4185.042276842039,4427.475084564275,-8773.675864648789,3925.126935681153
-2205.7563477325057,6466.989440512846,-5854.623507132288,1794.667721333203,-5743.803723509164,-6096.222453793541,-724.7122759672535,-6484.8416537642515,-2682.4387944511914,7935.291104676734,-13028.399295161233,3110.9365305126516
-3992.1627364613373,4753.211363904896,-7722.877483059571,4235.116978893683,-2590.546368172387,-5962.013258314859,-3704.643735182431,-4686.873203289197,-1686.1404206883672,5650.228615089844,-8913.701693704335,1153.2998824602164
1410.3111195405938,2782.206733527789,-8012.946482875988,2780.5479748122566,-3256.18608181605,-5068.2188581221635,-1.7906346420149493,-3863.777580943235,59.08780988002786,2566.8231787623818,-4478.0067246842,284.2577689068615
304.92226883293074,4009.330806319963,-8569.864245414814,814.7056069530784,-6197.654361306705,-7782.198000981479,-2095.8854263933404,-2730.004749367198,2248.708698698551,6529.1378496438065,-4581.285190764838,875.4701337253873
-1528.0850739776943,5220.2006762641095,-5610.024738488511,-381.00499078894063,-3197.6319858655233,-5873.79073465033,2100.0030500756257,-2306.237590038558,-863.2840929240047,5153.601642169096,-895.3963842371336,-347.96018829359775
4664.741080052842,3954.910771825305,-8641.28511430178,824.85329229916,-4453.749846876543,-6572.601153986595,280.2015427446564,-2586.7041158594484,-1899.9800802203085,1888.56005940303,-1674.2839874729316,-1165.9282479761177
6026.066625650899,3462.102850148876,-10490.051010093819,-3276.228782409314,-4402.585093537921,-5277.609457937412,-2661.676706733251,-1618.7813400327834,-5452.557119210265,-1747.21121625134,2769.536741003767,-336.4279151783674
3584.875396935901,2382.162195285274,-8934.533513387798,-3619.4680274785533,-5249.007667815984,-5075.87532336967,-2865.0034917200683,-312.2998139529618,-5827.699754077341,1658.9695845452545,-214.46118104678732,204.6765522758255
4032.0241463980724,2536.708797963783,-11210.053644045274,-1670.0563375794911,-8345.573644392784,-5850.775606605105,-54.66726319365077,-2745.8302513719705,-4988.841074541598,-322.72781891131416,2430.4923745750375,3348.510662307342
2165.5026636130538,4470.931035228415,-11748.789797217909,-2696.7326384462554,-4226.632683867271,-7480.27589536278,907.1541389621827,-1845.3819011152682,-3008.913943760296,5684.01778335572,3897.1858004248065,4354.920986185366
